nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,rmse-velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0.168619141
2,-0.021189971,-0.021189971,0.006562001,0.22158286
3,-0.021162361,-0.021162363,0.006562001,0.321307004
4,-0.021129269,-0.021129267,0.006562,0.382883579
5,-0.02108961,-0.021089612,0.006562001,0.419824541
6,-0.021042114,-0.021042114,0.006562,0.435284406
7,-0.020985276,-0.020985276,0.006562001,0.43089062
8,-0.02090802,-0.02090802,0.006562,0.415151417
9,-0.020785252,-0.020785252,0.006562001,0.399986863
10,-0.020633833,-0.020633835,0.006562001,0.392279834
11,-0.020572862,-0.020572864,0.006562001,0.39206624
12,-0.020375982,-0.020375984,0.006562001,0.394562125
13,-0.020316862,-0.020316862,0.006562001,0.396355778
14,-0.020137088,-0.020137088,0.006562001,0.406840801
15,-0.019967264,-0.019967264,0.006562001,0.428724974
16,-0.019869238,-0.019869238,0.006562001,0.44721663
17,-0.019798733,-0.019798733,0.006562001,4.693728924
18,-0.019699417,-0.019699419,0.006562001,4.692795277
19,-0.019489368,-0.019489368,0.006562,4.719711304
20,-0.019200001,-0.019200001,0.006562,4.762835979
21,-0.01888,-0.01888,0.006562,4.836138248
22,-0.01856,-0.01856,0.006562,4.939324379
23,-0.018239999,-0.018239999,0.006562,5.061888695
24,-0.01792,-0.01792,0.006562,5.190491199
25,-0.0176,-0.0176,0.006562,5.289180756
26,-0.017279999,-0.017279999,0.006562,5.335015297
27,-0.016960001,-0.016960001,0.006562,5.34485054
28,-0.01664,-0.01664,0.006562,5.340175629
29,-0.016319999,-0.016319999,0.006562,5.330712795
30,-0.016000001,-0.016000001,0.006562,5.318031311
31,-0.01568,-0.01568,0.006562,5.301362514
32,-0.01536,-0.01536,0.006562,5.277636528
33,-0.01504,-0.01504,0.006562,5.242908001
34,-0.01472,-0.01472,0.006562,5.193330765
35,-0.0144,-0.0144,0.006562,5.121686459
36,-0.01408,-0.01408,0.006562,5.021433353
37,-0.01376,-0.01376,0.006562,4.895419598
38,-0.01344,-0.01344,0.006562,4.754211426
39,-0.01312,-0.01312,0.006562,4.606706619
40,-0.0128,-0.0128,0.006562,4.456485748
41,-0.01248,-0.01248,0.006562,4.301270008
42,-0.01216,-0.01216,0.006562,4.137491703
43,-0.01184,-0.01184,0.006562,3.966251135
44,-0.01152,-0.01152,0.006562,3.790339708
45,-0.0112,-0.0112,0.006562,3.611733913
46,-0.01088,-0.01088,0.006562,3.427632809
47,-0.01056,-0.01056,0.006562,3.253921509
48,-0.01024,-0.01024,0.006562,3.118931293
49,-0.00992,-0.00992,0.006562,3.013650179
50,-0.0096,-0.0096,0.006562,2.907566309
51,-0.00928,-0.00928,0.006562,2.769644976
52,-0.00896,-0.00896,0.006562,2.583152294
53,-0.00864,-0.00864,0.006562,2.351790667
54,-0.00832,-0.00832,0.006562,2.111516953
55,-0.008,-0.008,0.006562,1.908679724
56,-0.00768,-0.00768,0.006562,1.740170002
57,-0.00736,-0.00736,0.006562,1.570646882
58,-0.00704,-0.00704,0.006562,1.382055879
59,-0.00672,-0.00672,0.006562,1.185568571
60,-0.0064,-0.0064,0.006562,1.013617158
61,-0.00608,-0.00608,0.006562,0.902437925
62,-0.00576,-0.00576,0.006562,0.850814223
63,-0.00544,-0.00544,0.006562,0.819925129
64,-0.00512,-0.00512,0.006562,0.779580355
65,-0.0048,-0.0048,0.006562,0.73681736
66,-0.00448,-0.00448,0.006562,0.714885891
67,-0.00416,-0.00416,0.006562,0.725713611
68,-0.00384,-0.00384,0.006562,0.768435717
69,-0.00352,-0.00352,0.006562,0.825428963
70,-0.003261731,-0.003261731,0.006562,0.865123153
71,-0.003110328,-0.003110328,0.006562,0.883603394
72,-0.00304391,-0.00304391,0.006562001,0.891689241
73,-0.002989858,-0.002989858,0.006562001,0.90070796
74,-0.002944678,-0.002944678,0.006562001,0.912849486
75,-0.002906908,-0.002906908,0.006562,0.93062669
76,-0.002875368,-0.002875368,0.006562,0.956751227
77,-0.002849019,-0.002849019,0.006562,0.991437078
78,-0.002827035,-0.002827035,0.006562,1.013499379
